	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F1116	203386.116191408	102485.288890817	215039.577644567	178668.715481482	305815.675294004	98734.12226544	102292.460548795	213398.489803403	226074.982907239	202874.491889577	102200.544592325	264422.523034785	147374.226023572	241812.213492874	244049.907992239	121650.866776257	171441.421440147	228845.956017429
F1117	115591.178711265	166058.84183117	116648.304105833	126787.180993379	89573.3522807496	67096.3495773397	119630.252086868	83403.4233055968	160564.084470139	91026.9450697427	129952.678014074	122058.305064009	126549.930818904	162080.547289066	91998.847909789	153181.102079702	131925.968114816	305437.654145627
F1118	31730.2219540189	162128.266567857	27275.6301457672	86280.2741896236	138083.435971139	191048.726678026	20342.8254929716	202868.74514763	75576.0234187705	102063.69176821		228130.429401897	101847.180048874	85568.4667002436	66709.9698019865	190784.963886514	161836.969096955	144885.829040784
F1119	55456.371339936	123207.050993513	81937.9945558768	97796.1228516328	68009.9367782296	204244.735056593	72561.2148552607	224235.949532282	161124.352334432	141019.125301348	33257.5409825416	304785.263608763	26318.2726172425	160777.501929316	96224.8737675627	92269.6633146057	58811.6658631828	108578.076736633
F1120	166832.1519479	126241.728664047	114993.093059182	143167.655975024	121265.625554378	111990.214567995	112279.718119372	100968.043568943	110060.775428794	148889.213686175	186085.317678769	121760.440298271	118061.316251161	119547.180659181	304770.737374513	116883.249398449	115354.928173279	112498.713967805
F1121	191314.569920403	85345.9087811292	146984.210733332	113521.533669098	156424.359950745	110254.679977475	120944.758525055	234612.860627997	217283.405112904	259239.841133067	181155.248933391	214797.990349627	226649.658999371	236268.152505136	265226.404039116	120667.546279465	120479.659597719	141087.593312454
F1122	128842.274954155	41539.6729765796	88523.515262381	39331.2680424734	52835.7939844949	39318.2273368972	71341.7035428645	225818.404732265	178184.984722716	219813.756190744	139640.997879122	208008.815427478	280929.081063797	304071.794325605	235200.775135828	26091.9000796133	40131.8956032993	49394.4985004156
F1123	96420.0792043683	40654.3482753054	70714.5762515943	52062.1589064419	104749.46021811	53287.451006092	73702.8883312114	157549.595331235	96912.9521304985	167665.581575568	85071.2594430267	211936.12846454	168645.065302555	192413.128501631	303903.357856479	44427.3744378557	67260.39134882	63077.7812577457
F1124		121236.193909573	66644.503500216	130854.471765242	103031.596084041	88609.7900896356	125595.264768797	107298.137798161	140204.645967936	102340.424903355	70317.1089198203	303498.0041506	154245.317465791	265698.946625534	127725.309775698	103609.081228479		82726.0379936735
F1125	111634.937023921	158700.244187813	141125.702453805	128152.282338593	161866.235312093	109994.360010993	114593.936322431	153762.477590334	161469.613324015	103004.133343343	106423.279429331	147933.561291745	134268.531105819	143713.829092172	87917.1992735861	277830.227716972	141938.310404204	217833.91928566
F1126	180357.93187904	159882.818598738	103884.035655376	117496.660978808	114069.059839094	158640.118003084	143092.41904595	101871.258712484	145356.415816429	86343.633830224	152295.661235253	83710.1178758159	103712.268117441	56365.4689991763	49128.0470220279	80555.8750478943	99415.9490719142	150928.680348779
F1127	157869.759907719	272296.538871718	173413.538052755	263246.537881692	255455.59836933	302731.224873432	218681.362477447	225010.047013676	270253.501778766	209352.217060304	180868.842720759	290810.23157097	291159.66476911	217150.011607605	209968.556520206	227756.33785284	201853.410336634	222360.042430845
F1128	120299.507877378	73034.1322661498	99794.5244825315	80889.5177647836	121109.068979124	73502.3924519018	106600.135945415	148884.071497152	205251.201613488	153874.173688018	115820.166266847	137385.204289127	176825.651905227	160311.831544525	185206.084187183	106489.048140144	68248.2683200857	91696.2065247228
F1129	114496.769591486	84605.4359654353	95606.4655586407	134149.495032142	90831.5025069395	50134.7595925553	21983.0121212961	77606.8733606456	51943.8946255847	41112.4085046388	20089.388863557	84448.2820078461	26933.0914144012	39835.4975042356	27058.4765217332	295892.549563233	301721.664433862	218915.979497385
F1130	217881.140005358	56342.7736617475	155461.799824776	73659.5584981185	106638.043674352	188257.568218901	189459.001761618	49199.6501682778	191686.23747707	66682.7704247623	301603.635766402	71250.8545594327	128448.391511556	98116.2005474149	210974.441239484	47882.915491511	75186.6690307422	78508.3685347802
F1131	52767.2396901843	204711.825584917	130588.79108666	219139.115065423	41706.2192823757	232650.300372254	198458.073178273	255050.918944152	191397.625210339	203349.243247129	151125.092013096	234591.759792493	218037.958366963	267326.780590363	58822.2592778739	132883.888783663	54873.3171900968	164989.034817062
F1132	189799.585150763	53654.3729812839	167285.598806506	38829.3818735578	53021.9807502485		78040.5190308429	119367.342198805	112718.705115	37178.9153280906	127662.421819572	65335.2603851532	301257.620910499	153875.142556691	188332.867711839	69931.4492529235	96038.409476567	117727.161064191
F1133	233237.514120023	199757.304218946	139878.837825294	79669.1541504306	40388.7221380947	301209.373014501	286963.681734142	84900.1651931386	112300.920715135	70301.8823012515	132661.437818922	106860.843228284	90896.2855105659	242195.709731888	154049.094649457	88533.4274366914	241969.611162676	104790.766122387
F1134	70114.3798422237	160713.344082737	76853.359709538	118514.814280275	174358.359329169	218954.603112515	103071.127872632	185946.363783171	300830.470057693	157123.181393481	87928.4038531101	99125.5485193316	100446.030287348	131866.267436037	52588.4450169973	228697.757413083	158650.795469132	178287.312468513
F1135	16238.7228655912	41933.893665358	36618.0759531261	42341.582449581	40315.433968567	79976.6726198331	19990.6549577106	103585.26613617	119438.189758052	67952.628858714	24174.3395879183	299669.307139045	89926.0020639474	93229.0653631657	55548.1526267446	41632.5664616188	28931.0669994494	42843.9445030467
F1136	77286.4355896897	34125.4918410443	52826.9957266194	47501.5429401526	75227.3855704474	40377.7197247325	49921.399386791	96272.0082127705	112191.638538962	124824.899545999	72195.9894993652	88516.8245652559	55968.2098471048	85388.0536153531	62526.0996507266	37565.6642933531	57281.4746395299	68886.411495732
F1137	139580.982760994	189476.889975804	141999.284849611	164797.521854385	163770.127630958	237248.863992051	147157.744281854	191516.088415858	194960.627187941	268069.444521233	144870.558677611	260504.861609847	144170.12410981	159548.084784814	141811.519117819	161466.444408924	187805.019672726	194537.925815441
F1138	133602.880796936	35379.227824833	67481.8410420903	50487.2424894561	30846.0604737459		82598.0796617541	133781.528398174	145098.168421136	85021.7249854796	141756.771642963	29295.4783502551	188179.28852258	184134.016465849	195710.112328261	84212.8370124851	100188.713869807	115671.307897333
F1139	207380.448953246	217149.230963331	206179.691477528	246648.614250527	246628.401257351	298313.198697771	256545.357679923	225624.909369228	230872.844095314	260557.174783771	218378.236666835	283148.439362364	181145.985135678	204769.324827322	193946.392758035	249287.039466826	239369.23347943	265604.146858896
