(1E,6E)-GAMMA-HUMULENE	humulene
(1E,6Z)-GAMMA-HUMULENE	humulene
(1R*,2R*,4R*,8S*)-P-MENTHANE-1,2,8,9-TETROL 9-GLUCOSIDE	Menthane-glucoside
(1R*,2S*,3S*,6S*)-2-CARANOL	Caranol
(1R*,3R*,6S*)-3-CARANOL	Caranol
(1R,16Z,24E,26E,28Z)-1,18-DIHYDROXY-12-[1-(4-HYDROXY-3-METHOXYCYCLOHEXYL)PROPAN-2-YL]-19,30-DIMETHOXY-15,17,21,23,29-PENTAMETHYL-35-METHYLIDENE-11,36-DIOXA-4-AZATRICYCLO[30.3.1.0?,?]HEXATRIACONTA-16,24,26,28-TETRAENE-2,3,10,14,20-PENTONE	dihydroxy-[(hydroxy-methoxycyclohexyl)propan-yl]-dimethoxy-pentamethyl-methylidene-dioxa-azatricyclo[30.3.1.0?,?]hexatriaconta-tetraene-pentone
(1R,16Z,24E,26E,28Z)-1,18-DIHYDROXY-12-[1-(4-HYDROXY-3-METHOXYCYCLOHEXYL)PROPAN-2-YL]-19,30-DIMETHOXY-15,17,21,29,35-PENTAMETHYL-23-METHYLIDENE-11,36-DIOXA-4-AZATRICYCLO[30.3.1.0?,?]HEXATRIACONTA-16,24,26,28-TETRAENE-2,3,10,14,20-PENTONE	dihydroxy-[(hydroxy-methoxycyclohexyl)propan-yl]-dimethoxy-pentamethyl-methylidene-dioxa-azatricyclo[30.3.1.0?,?]hexatriaconta-tetraene-pentone
(1R,16Z,24E,26E,28Z)-1,18-DIHYDROXY-12-[1-(4-HYDROXY-3-METHOXYCYCLOHEXYL)PROPAN-2-YL]-19,30-DIMETHOXY-15,17,23,29,35-PENTAMETHYL-21-METHYLIDENE-11,36-DIOXA-4-AZATRICYCLO[30.3.1.0?,?]HEXATRIACONTA-16,24,26,28-TETRAENE-2,3,10,14,20-PENTONE	dihydroxy-[(hydroxy-methoxycyclohexyl)propan-yl]-dimethoxy-pentamethyl-methylidene-dioxa-azatricyclo[30.3.1.0?,?]hexatriaconta-tetraene-pentone
(1R,16Z,24E,26E,28Z)-1,18-DIHYDROXY-12-[1-(4-HYDROXY-3-METHOXYCYCLOHEXYL)PROPAN-2-YL]-19,30-DIMETHOXY-17,21,23,29,35-PENTAMETHYL-15-METHYLIDENE-11,36-DIOXA-4-AZATRICYCLO[30.3.1.0?,?]HEXATRIACONTA-16,24,26,28-TETRAENE-2,3,10,14,20-PENTONE	dihydroxy-[(hydroxy-methoxycyclohexyl)propan-yl]-dimethoxy-pentamethyl-methylidene-dioxa-azatricyclo[30.3.1.0?,?]hexatriaconta-tetraene-pentone
(1R,16Z,24E,26E,28Z)-1,18-DIHYDROXY-12-[3-(4-HYDROXY-3-METHOXYCYCLOHEXYL)PROP-1-EN-2-YL]-19,30-DIMETHOXY-15,17,21,23,29,35-HEXAMETHYL-11,36-DIOXA-4-AZATRICYCLO[30.3.1.0?,?]HEXATRIACONTA-16,24,26,28-TETRAENE-2,3,10,14,20-PENTONE	dihydroxy-[(hydroxy-methoxycyclohexyl)prop-en-yl]-dimethoxy-hexamethyl-dioxa-azatricyclo[30.3.1.0?,?]hexatriaconta-tetraene-pentone
(1R,2R)-3-[(1,2-DIHYDRO-2-HYDROXY-1-NAPHTHALENYL)THIO]-2-OXOPROPANOIC ACID	[(Dihydro-hydroxy-naphthalenyl)thio]-oxopropanoate
